ageClass,sex,mode,value
ageClass1,M,walk,NA
ageClass2,M,walk,22.2727272727273
ageClass3,M,walk,96.7647058823529
ageClass4,M,walk,71.5555555555555
ageClass5,M,walk,96.5471698113208
ageClass6,M,walk,73
ageClass7,M,walk,69.4166666666667
ageClass8,M,walk,29.1666666666667
ageClass1,F,walk,NA
ageClass2,F,walk,38.5
ageClass3,F,walk,71.1666666666667
ageClass4,F,walk,65.2790697674419
ageClass5,F,walk,50.125
ageClass6,F,walk,69.6818181818182
ageClass7,F,walk,14.3684210526316
ageClass8,F,walk,43.1666666666667
ageClass1,M,cycle,NA
ageClass2,M,cycle,21
ageClass3,M,cycle,28.8235294117647
ageClass4,M,cycle,NA
ageClass5,M,cycle,23.9056603773585
ageClass6,M,cycle,33.3333333333333
ageClass7,M,cycle,NA
ageClass8,M,cycle,NA
ageClass1,F,cycle,NA
ageClass2,F,cycle,14
ageClass3,F,cycle,NA
ageClass4,F,cycle,19.5348837209302
ageClass5,F,cycle,61.25
ageClass6,F,cycle,NA
ageClass7,F,cycle,NA
ageClass8,F,cycle,NA
