severity,roadType,victimMode,strikingMode,value
Fatal,Arterial,bike,bike,0
Fatal,Arterial,bike,bus,1
Fatal,Arterial,bike,car,122.2
Fatal,Arterial,bike,motorcycle,3
Fatal,Arterial,bike,ped,0
Fatal,Arterial,bike,truck,13
Fatal,Arterial,bus,bike,0
Fatal,Arterial,bus,bus,3.4
Fatal,Arterial,bus,car,19.6
Fatal,Arterial,bus,motorcycle,1.2
Fatal,Arterial,bus,ped,0
Fatal,Arterial,bus,truck,1.2
Fatal,Arterial,car,bike,1.6
Fatal,Arterial,car,bus,16.8
Fatal,Arterial,car,car,3026.2
Fatal,Arterial,car,motorcycle,258.2
Fatal,Arterial,car,ped,0.4
Fatal,Arterial,car,truck,312.6
Fatal,Arterial,motorcycle,bike,0
Fatal,Arterial,motorcycle,bus,0.4
Fatal,Arterial,motorcycle,car,95.6
Fatal,Arterial,motorcycle,motorcycle,35.6
Fatal,Arterial,motorcycle,ped,0
Fatal,Arterial,motorcycle,truck,5.4
Fatal,Arterial,ped,bike,0
Fatal,Arterial,ped,bus,16.8
Fatal,Arterial,ped,car,772.8
Fatal,Arterial,ped,motorcycle,6.4
Fatal,Arterial,ped,ped,0.2
Fatal,Arterial,ped,truck,34
Fatal,Arterial,truck,bike,0
Fatal,Arterial,truck,bus,0.4
Fatal,Arterial,truck,car,318.6
Fatal,Arterial,truck,motorcycle,21
Fatal,Arterial,truck,ped,0
Fatal,Arterial,truck,truck,87
Fatal,Arterial,NA,bike,0
Fatal,Arterial,NA,bus,0
Fatal,Arterial,NA,car,1.2
Fatal,Arterial,NA,motorcycle,0
Fatal,Arterial,NA,ped,0
Fatal,Arterial,NA,truck,0.2
Fatal,Highway,bike,bike,0.2
Fatal,Highway,bike,bus,1.6
Fatal,Highway,bike,car,186.4
Fatal,Highway,bike,motorcycle,2
Fatal,Highway,bike,ped,0
Fatal,Highway,bike,truck,23.6
Fatal,Highway,bus,bike,0
Fatal,Highway,bus,bus,4.4
Fatal,Highway,bus,car,26.6
Fatal,Highway,bus,motorcycle,2.8
Fatal,Highway,bus,ped,0
Fatal,Highway,bus,truck,6.6
Fatal,Highway,car,bike,0.6
Fatal,Highway,car,bus,36.8
Fatal,Highway,car,car,5901.6
Fatal,Highway,car,motorcycle,398.2
Fatal,Highway,car,ped,0.4
Fatal,Highway,car,truck,959.2
Fatal,Highway,motorcycle,bike,0
Fatal,Highway,motorcycle,bus,1
Fatal,Highway,motorcycle,car,168.4
Fatal,Highway,motorcycle,motorcycle,47.8
Fatal,Highway,motorcycle,ped,0
Fatal,Highway,motorcycle,truck,12.8
Fatal,Highway,ped,bike,0.2
Fatal,Highway,ped,bus,19.6
Fatal,Highway,ped,car,1720.4
Fatal,Highway,ped,motorcycle,11.4
Fatal,Highway,ped,ped,0
Fatal,Highway,ped,truck,156.4
Fatal,Highway,truck,bike,0
Fatal,Highway,truck,bus,4.4
Fatal,Highway,truck,car,882.6
Fatal,Highway,truck,motorcycle,44
Fatal,Highway,truck,ped,0.2
Fatal,Highway,truck,truck,312.6
Fatal,Highway,NA,bike,0
Fatal,Highway,NA,bus,0
Fatal,Highway,NA,car,2.8
Fatal,Highway,NA,motorcycle,0.2
Fatal,Highway,NA,ped,0
Fatal,Highway,NA,truck,1.4
Fatal,Local,bike,bike,2.4
Fatal,Local,bike,bus,4.2
Fatal,Local,bike,car,232
Fatal,Local,bike,motorcycle,7.2
Fatal,Local,bike,ped,0
Fatal,Local,bike,truck,18.4
Fatal,Local,bus,bike,0
Fatal,Local,bus,bus,3.8
Fatal,Local,bus,car,23.6
Fatal,Local,bus,motorcycle,4.2
Fatal,Local,bus,ped,0
Fatal,Local,bus,truck,1
Fatal,Local,car,bike,2.6
Fatal,Local,car,bus,20.4
Fatal,Local,car,car,4124.8
Fatal,Local,car,motorcycle,417
Fatal,Local,car,ped,1.4
Fatal,Local,car,truck,291
Fatal,Local,motorcycle,bike,1
Fatal,Local,motorcycle,bus,0.6
Fatal,Local,motorcycle,car,179.4
Fatal,Local,motorcycle,motorcycle,96.6
Fatal,Local,motorcycle,ped,0
Fatal,Local,motorcycle,truck,7.8
Fatal,Local,ped,bike,0.4
Fatal,Local,ped,bus,27
Fatal,Local,ped,car,1112.4
Fatal,Local,ped,motorcycle,9
Fatal,Local,ped,ped,0.4
Fatal,Local,ped,truck,54.4
Fatal,Local,truck,bike,0
Fatal,Local,truck,bus,0.4
Fatal,Local,truck,car,298.4
Fatal,Local,truck,motorcycle,32.2
Fatal,Local,truck,ped,0.2
Fatal,Local,truck,truck,77.2
Fatal,Local,NA,bike,0
Fatal,Local,NA,bus,0
Fatal,Local,NA,car,3.4
Fatal,Local,NA,motorcycle,0.2
Fatal,Local,NA,ped,0
Fatal,Local,NA,truck,0
Serious,Arterial,bike,bike,0
Serious,Arterial,bike,bus,0
Serious,Arterial,bike,car,4
Serious,Arterial,bike,motorcycle,0.2
Serious,Arterial,bike,ped,0
Serious,Arterial,bike,truck,1.2
Serious,Arterial,bus,bike,0
Serious,Arterial,bus,bus,2.2
Serious,Arterial,bus,car,13
Serious,Arterial,bus,motorcycle,0
Serious,Arterial,bus,ped,0
Serious,Arterial,bus,truck,0.4
Serious,Arterial,car,bike,0
Serious,Arterial,car,bus,8
Serious,Arterial,car,car,1899.6
Serious,Arterial,car,motorcycle,45.6
Serious,Arterial,car,ped,0
Serious,Arterial,car,truck,99.4
Serious,Arterial,motorcycle,bike,0
Serious,Arterial,motorcycle,bus,0
Serious,Arterial,motorcycle,car,21
Serious,Arterial,motorcycle,motorcycle,11
Serious,Arterial,motorcycle,ped,0
Serious,Arterial,motorcycle,truck,0.4
Serious,Arterial,ped,bike,0
Serious,Arterial,ped,bus,0.4
Serious,Arterial,ped,car,38.2
Serious,Arterial,ped,motorcycle,2.8
Serious,Arterial,ped,ped,0
Serious,Arterial,ped,truck,0.4
Serious,Arterial,truck,bike,0
Serious,Arterial,truck,bus,1
Serious,Arterial,truck,car,77.2
Serious,Arterial,truck,motorcycle,1.2
Serious,Arterial,truck,ped,0
Serious,Arterial,truck,truck,24.2
Serious,Arterial,NA,bike,0
Serious,Arterial,NA,bus,0
Serious,Arterial,NA,car,0.2
Serious,Arterial,NA,motorcycle,0
Serious,Arterial,NA,ped,0
Serious,Arterial,NA,truck,0
Serious,Highway,bike,bike,0.2
Serious,Highway,bike,bus,0.2
Serious,Highway,bike,car,6.8
Serious,Highway,bike,motorcycle,0.8
Serious,Highway,bike,ped,0
Serious,Highway,bike,truck,0.2
Serious,Highway,bus,bike,0
Serious,Highway,bus,bus,4.8
Serious,Highway,bus,car,14.6
Serious,Highway,bus,motorcycle,0.2
Serious,Highway,bus,ped,0
Serious,Highway,bus,truck,4.6
Serious,Highway,car,bike,0
Serious,Highway,car,bus,17.8
Serious,Highway,car,car,3669.2
Serious,Highway,car,motorcycle,76.8
Serious,Highway,car,ped,0
Serious,Highway,car,truck,362
Serious,Highway,motorcycle,bike,0
Serious,Highway,motorcycle,bus,0.2
Serious,Highway,motorcycle,car,38.2
Serious,Highway,motorcycle,motorcycle,25.4
Serious,Highway,motorcycle,ped,0
Serious,Highway,motorcycle,truck,1
Serious,Highway,ped,bike,0
Serious,Highway,ped,bus,0
Serious,Highway,ped,car,84.2
Serious,Highway,ped,motorcycle,3
Serious,Highway,ped,ped,0
Serious,Highway,ped,truck,3.6
Serious,Highway,truck,bike,0
Serious,Highway,truck,bus,4.6
Serious,Highway,truck,car,258.2
Serious,Highway,truck,motorcycle,2
Serious,Highway,truck,ped,0.2
Serious,Highway,truck,truck,91.2
Serious,Highway,NA,bike,0
Serious,Highway,NA,bus,0
Serious,Highway,NA,car,0.4
Serious,Highway,NA,motorcycle,0
Serious,Highway,NA,ped,0
Serious,Highway,NA,truck,0.2
Serious,Local,bike,bike,0
Serious,Local,bike,bus,0
Serious,Local,bike,car,12.2
Serious,Local,bike,motorcycle,2.2
Serious,Local,bike,ped,0
Serious,Local,bike,truck,0
Serious,Local,bus,bike,0
Serious,Local,bus,bus,2.4
Serious,Local,bus,car,8.4
Serious,Local,bus,motorcycle,0
Serious,Local,bus,ped,0
Serious,Local,bus,truck,2.6
Serious,Local,car,bike,0.2
Serious,Local,car,bus,7.8
Serious,Local,car,car,2529.6
Serious,Local,car,motorcycle,63
Serious,Local,car,ped,0.2
Serious,Local,car,truck,94.4
Serious,Local,motorcycle,bike,0.6
Serious,Local,motorcycle,bus,0
Serious,Local,motorcycle,car,32.8
Serious,Local,motorcycle,motorcycle,26.2
Serious,Local,motorcycle,ped,0
Serious,Local,motorcycle,truck,0.8
Serious,Local,ped,bike,0
Serious,Local,ped,bus,0.2
Serious,Local,ped,car,48.4
Serious,Local,ped,motorcycle,3
Serious,Local,ped,ped,0
Serious,Local,ped,truck,1.6
Serious,Local,truck,bike,0
Serious,Local,truck,bus,0
Serious,Local,truck,car,71.4
Serious,Local,truck,motorcycle,2.6
Serious,Local,truck,ped,0
Serious,Local,truck,truck,17.8
Serious,Local,NA,bike,0
Serious,Local,NA,bus,0
Serious,Local,NA,car,0.4
Serious,Local,NA,motorcycle,0.2
Serious,Local,NA,ped,0
Serious,Local,NA,truck,0
